,longitude,latitude,number
73,-122.29,37.81,60014105002029
74,-122.29,37.81,60014105002029
75,-122.29,37.81,60014105002029
76,-122.28,37.81,60014027002014
77,-122.28,37.81,60014027002014
78,-122.28,37.81,60014027002014
79,-122.29,37.81,60014105002029
80,-122.28,37.8,60019820001011
81,-122.28,37.81,60014027002014
82,-122.27,37.81,60014028013000
83,-122.28,37.81,60014027002014
84,-122.28,37.81,60014027002014
85,-122.28,37.81,60014027002014
86,-122.28,37.81,60014027002014
87,-122.27,37.81,60014028013000
88,-122.27,37.81,60014028013000
89,-122.27,37.8,60014030002007
90,-122.27,37.8,60014030002007
91,-122.27,37.8,60014030002007
92,-122.28,37.8,60019820001011
93,-122.28,37.8,60019820001011
94,-122.27,37.79,60014033022015
95,-122.27,37.8,60014030002007
96,-122.26,37.8,60014034011006
97,-122.26,37.82,60014035012005
98,-122.26,37.81,60014034011001
99,-122.26,37.82,60014035012005
100,-122.26,37.82,60014035012005
101,-122.25,37.81,60014037021002
102,-122.25,37.81,60014037021002
103,-122.25,37.81,60014037021002
104,-122.25,37.81,60014037021002
105,-122.26,37.81,60014034011001
106,-122.24,37.82,60014262002029
107,-122.24,37.81,60014051003000
108,-122.25,37.81,60014037021002
109,-122.24,37.82,60014262002029
110,-122.25,37.82,60014039001004
111,-122.25,37.82,60014039001004
112,-122.25,37.82,60014039001004
113,-122.25,37.82,60014039001004
114,-122.25,37.83,60014041011003
115,-122.25,37.83,60014041011003
116,-122.25,37.83,60014041011003
117,-122.25,37.83,60014041011003
118,-122.25,37.83,60014041011003
119,-122.23,37.84,60014042001012
120,-122.23,37.84,60014042001012
121,-122.24,37.83,60014262001003
122,-122.24,37.85,60014043001007
123,-122.23,37.85,60014044001013
124,-122.24,37.84,60014042003006
125,-122.24,37.85,60014043001007
126,-122.22,37.85,60014044001003
127,-122.22,37.84,60014044002003
128,-122.21,37.84,60014044003012
129,-122.21,37.83,60014045024013
130,-122.2,37.84,60014045021006
131,-122.21,37.84,60014044003012
132,-122.19,37.84,60133530013004
133,-122.2,37.84,60014045021006
134,-122.21,37.83,60014045024013
135,-122.19,37.83,60014046002001
136,-122.2,37.83,60014045024001
137,-122.19,37.83,60014046002001
138,-122.19,37.82,60014046003006
139,-122.2,37.82,60014046004000
140,-122.2,37.82,60014046004000
141,-122.18,37.81,60014046004015
142,-122.21,37.82,60014045011025
143,-122.2,37.81,60014067001002
144,-122.21,37.8,60014067003006
145,-122.21,37.8,60014067003006
146,-122.21,37.81,60014047001005
147,-122.22,37.81,60014050002000
148,-122.22,37.8,60014049002009
149,-122.22,37.8,60014049002009
150,-122.22,37.8,60014049002009
151,-122.22,37.81,60014050002000
152,-122.22,37.81,60014050002000
153,-122.23,37.8,60014057001013
154,-122.23,37.81,60014051001010
155,-122.22,37.81,60014050002000
156,-122.23,37.81,60014051001010
157,-122.24,37.81,60014051003000
158,-122.24,37.81,60014051003000
159,-122.23,37.81,60014051001010
160,-122.24,37.81,60014051003000
161,-122.24,37.8,60014056003007
162,-122.25,37.8,60014054011001
163,-122.24,37.81,60014051003000
164,-122.25,37.81,60014037021002
165,-122.25,37.8,60014054011001
166,-122.25,37.8,60014054011001
167,-122.25,37.8,60014054011001
168,-122.25,37.8,60014054011001
169,-122.24,37.79,60014059022006
170,-122.25,37.79,60014060001015
171,-122.25,37.79,60014060001015
172,-122.25,37.79,60014060001015
173,-122.25,37.8,60014054011001
174,-122.25,37.8,60014054011001
175,-122.24,37.8,60014056003007
176,-122.24,37.8,60014056003007
177,-122.24,37.8,60014056003007
178,-122.24,37.8,60014056003007
179,-122.23,37.8,60014057001013
180,-122.24,37.8,60014056003007
181,-122.24,37.8,60014056003007
182,-122.23,37.8,60014057001013
183,-122.23,37.8,60014057001013
184,-122.23,37.8,60014057001013
185,-122.23,37.8,60014057001013
186,-122.23,37.79,60014063004011
187,-122.23,37.79,60014063004011
188,-122.23,37.79,60014063004011
189,-122.24,37.79,60014059022006
190,-122.24,37.79,60014059022006
191,-122.24,37.79,60014059022006
192,-122.24,37.79,60014059022006
193,-122.25,37.79,60014060001015
194,-122.25,37.79,60014060001015
195,-122.25,37.79,60014060001015
196,-122.26,37.8,60014034011006
197,-122.22,37.77,60014061002009
198,-122.22,37.77,60014061002009
199,-122.23,37.77,60014061003010
200,-122.23,37.78,60014062022001
201,-122.23,37.78,60014062022001
202,-122.22,37.78,60014072003007
203,-122.23,37.78,60014062022001
204,-122.23,37.78,60014062022001
205,-122.23,37.78,60014062022001
206,-122.23,37.79,60014063004011
207,-122.23,37.79,60014063004011
208,-122.22,37.79,60014065004001
209,-122.23,37.79,60014063004011
210,-122.23,37.79,60014063004011
211,-122.22,37.79,60014065004001
212,-122.22,37.79,60014065004001
213,-122.21,37.79,60014066011009
214,-122.22,37.79,60014065004001
215,-122.22,37.79,60014065004001
216,-122.22,37.79,60014065004001
217,-122.2,37.79,60014070001002
218,-122.21,37.79,60014066011009
219,-122.21,37.79,60014066011009
220,-122.21,37.79,60014066011009
221,-122.21,37.8,60014067003006
222,-122.21,37.8,60014067003006
223,-122.2,37.8,60014067002002
224,-122.2,37.8,60014067002002
225,-122.21,37.8,60014067003006
226,-122.2,37.8,60014067002002
227,-122.21,37.8,60014067003006
228,-122.19,37.8,60014068001000
229,-122.19,37.8,60014068001000
230,-122.19,37.79,60014069002007
231,-122.2,37.79,60014070001002
232,-122.2,37.8,60014067002002
233,-122.19,37.8,60014068001000
234,-122.19,37.79,60014069002007
235,-122.19,37.79,60014069002007
236,-122.2,37.79,60014070001002
237,-122.2,37.79,60014070001002
238,-122.2,37.79,60014070001002
239,-122.21,37.79,60014066011009
240,-122.2,37.79,60014070001002
241,-122.21,37.78,60014071022003
242,-122.21,37.78,60014071022003
243,-122.21,37.78,60014071022003
244,-122.21,37.78,60014071022003
245,-122.22,37.78,60014072003007
246,-122.21,37.78,60014071022003
247,-122.21,37.78,60014071022003
248,-122.22,37.77,60014061002009
249,-122.22,37.78,60014072003007
250,-122.22,37.78,60014072003007
251,-122.22,37.78,60014072003007
252,-122.21,37.76,60014073002034
253,-122.21,37.77,60014073002014
254,-122.21,37.77,60014073002014
255,-122.2,37.77,60014075002003
256,-122.21,37.77,60014073002014
257,-122.21,37.77,60014073002014
258,-122.19,37.77,60014087006008
259,-122.2,37.77,60014075002003
260,-122.2,37.77,60014075002003
261,-122.2,37.78,60014076001003
262,-122.2,37.78,60014076001003
263,-122.2,37.78,60014076001003
264,-122.2,37.77,60014075002003
265,-122.21,37.78,60014071022003
266,-122.19,37.78,60014078002028
267,-122.19,37.77,60014087006008
268,-122.19,37.77,60014087006008
269,-122.19,37.78,60014078002028
270,-122.19,37.78,60014078002028
271,-122.18,37.78,60014078002009
272,-122.19,37.78,60014078002028
273,-122.19,37.78,60014078002028
274,-122.2,37.78,60014076001003
275,-122.18,37.79,60014079001011
276,-122.18,37.79,60014079001011
277,-122.18,37.79,60014079001011
278,-122.19,37.79,60014069002007
279,-122.19,37.79,60014069002007
280,-122.18,37.81,60014046004015
281,-122.18,37.8,60014080002017
282,-122.18,37.8,60014080002017
283,-122.13,37.77,60014081003002
284,-122.16,37.79,60014081001015
285,-122.17,37.78,60014081005011
286,-122.17,37.77,60014083005002
287,-122.18,37.78,60014078002009
288,-122.18,37.78,60014078002009
289,-122.17,37.78,60014081005011
290,-122.17,37.78,60014081005011
291,-122.16,37.77,60014083002014
292,-122.16,37.77,60014083002014
293,-122.16,37.77,60014083002014
294,-122.16,37.77,60014083002014
295,-122.17,37.77,60014083005002
296,-122.17,37.77,60014083005002
297,-122.17,37.76,60014097004000
298,-122.17,37.76,60014097004000
299,-122.18,37.76,60014085005005
300,-122.17,37.76,60014097004000
301,-122.18,37.76,60014085005005
302,-122.18,37.76,60014085005005
303,-122.18,37.76,60014085005005
304,-122.18,37.77,60014086001010
305,-122.18,37.77,60014086001010
306,-122.18,37.76,60014085005005
307,-122.19,37.76,60014088001001
308,-122.18,37.77,60014086001010
309,-122.18,37.77,60014086001010
310,-122.18,37.77,60014086001010
311,-122.19,37.76,60014088001001
312,-122.2,37.76,60014088004014
313,-122.19,37.77,60014087006008
314,-122.19,37.77,60014087006008
315,-122.19,37.76,60014088001001
316,-122.19,37.76,60014088001001
317,-122.2,37.75,60014090003027
318,-122.2,37.76,60014088004014
319,-122.19,37.76,60014088001001
320,-122.19,37.75,60014095001002
321,-122.19,37.75,60014095001002
322,-122.19,37.76,60014088001001
323,-122.19,37.74,60014090001008
324,-122.18,37.74,60014094002004
325,-122.19,37.73,60014090003060
326,-122.19,37.74,60014090001008
327,-122.19,37.73,60014090003060
328,-122.18,37.73,60014092002003
329,-122.18,37.73,60014092002003
330,-122.18,37.73,60014092002003
331,-122.18,37.73,60014092002003
332,-122.17,37.74,60014093001009
333,-122.17,37.74,60014093001009
334,-122.17,37.74,60014093001009
335,-122.17,37.73,60014323003014
336,-122.18,37.74,60014094002004
337,-122.17,37.74,60014093001009
338,-122.17,37.74,60014093001009
339,-122.18,37.74,60014094002004
340,-122.18,37.75,60014095003005
341,-122.18,37.75,60014095003005
342,-122.17,37.75,60014096003005
343,-122.18,37.75,60014095003005
344,-122.19,37.75,60014095001002
345,-122.18,37.75,60014095003005
346,-122.18,37.75,60014095003005
347,-122.17,37.76,60014097004000
348,-122.17,37.75,60014096003005
349,-122.17,37.75,60014096003005
350,-122.17,37.75,60014096003005
351,-122.17,37.75,60014096003005
352,-122.16,37.76,60014098002000
353,-122.16,37.75,60014102001008
354,-122.17,37.75,60014096003005
355,-122.17,37.76,60014097004000
356,-122.16,37.76,60014098002000
357,-122.16,37.76,60014098002000
358,-122.15,37.76,60014098001002
359,-122.14,37.77,60014099001004
360,-122.14,37.76,60014099003007
361,-122.13,37.76,60014099003007
362,-122.12,37.75,60014099004017
363,-122.12,37.75,60014099004017
364,-122.14,37.75,60014100003001
365,-122.14,37.75,60014100003001
366,-122.13,37.75,60014100002004
367,-122.13,37.75,60014100002004
368,-122.13,37.74,60014100001000
369,-122.16,37.75,60014102001008
370,-122.15,37.75,60014100003001
371,-122.15,37.75,60014100003001
372,-122.15,37.74,60014321001018
373,-122.16,37.75,60014102001008
374,-122.16,37.75,60014102001008
375,-122.15,37.74,60014321001018
376,-122.15,37.74,60014321001018
377,-122.16,37.75,60014102001008
378,-122.16,37.75,60014102001008
379,-122.17,37.74,60014093001009
380,-122.17,37.75,60014096003005
381,-122.16,37.74,60014104002006
382,-122.16,37.74,60014104002006
383,-122.16,37.74,60014104002006
384,-122.16,37.74,60014104002006
385,-122.16,37.74,60014104002006
386,-122.29,37.9,60133902001010
387,-122.29,37.9,60133902001010
388,-122.29,37.89,60014206003001
389,-122.3,37.9,60133891002013
390,-122.29,37.89,60014206003001
391,-122.3,37.89,60014203021008
392,-122.3,37.9,60133891002013
393,-122.3,37.89,60014203021008
394,-122.3,37.89,60014203021008
395,-122.33,37.89,60014203022007
396,-122.34,37.88,60019900000001
397,-122.29,37.89,60014206003001
398,-122.29,37.88,60014219003002
399,-122.29,37.89,60014206003001
400,-122.29,37.89,60014206003001
401,-122.28,37.88,60014218002007
402,-122.29,37.89,60014206003001
403,-122.27,37.9,60014211002005
404,-122.26,37.9,60133560021152
405,-122.27,37.9,60014211002005
406,-122.27,37.9,60014211002005
407,-122.27,37.9,60014211002005
408,-122.27,37.89,60014214001004
409,-122.28,37.9,60014212004002
410,-122.28,37.9,60014212004002
411,-122.28,37.9,60014212004002
412,-122.28,37.89,60014213004000
413,-122.28,37.89,60014213004000
414,-122.28,37.89,60014213004000
415,-122.28,37.89,60014213004000
416,-122.27,37.89,60014214001004
417,-122.27,37.89,60014214001004
418,-122.26,37.9,60133560021152
419,-122.25,37.89,60133540011033
420,-122.26,37.89,60014215003001
421,-122.26,37.89,60014215003001
422,-122.25,37.89,60133540011033
423,-122.25,37.89,60133540011033
424,-122.26,37.88,60014216004008
425,-122.26,37.88,60014216004008
426,-122.27,37.88,60014217003004
427,-122.27,37.88,60014217003004
428,-122.27,37.88,60014217003004
429,-122.28,37.88,60014218002007
430,-122.28,37.88,60014218002007
431,-122.28,37.88,60014218002007
432,-122.29,37.88,60014219003002
433,-122.29,37.88,60014219003002
434,-122.29,37.88,60014219003002
435,-122.29,37.88,60014219003002
436,-122.3,37.88,60014220002008
437,-122.3,37.88,60014220002008
438,-122.3,37.87,60014220002051
439,-122.3,37.86,60014220001011
440,-122.29,37.85,60014220001064
441,-122.3,37.88,60014220002008
442,-122.3,37.87,60014220002051
443,-122.28,37.88,60014218002007
444,-122.28,37.87,60014230001004
445,-122.28,37.87,60014230001004
446,-122.29,37.87,60014222003012
447,-122.29,37.87,60014222003012
448,-122.28,37.88,60014218002007
449,-122.28,37.87,60014230001004
450,-122.28,37.87,60014230001004
451,-122.27,37.88,60014217003004
452,-122.27,37.87,60014229023001
453,-122.27,37.88,60014217003004
454,-122.26,37.88,60014216004008
455,-122.26,37.88,60014216004008
456,-122.26,37.88,60014216004008
457,-122.25,37.87,60019821001005
458,-122.25,37.87,60019821001005
459,-122.25,37.87,60019821001005
460,-122.25,37.87,60019821001005
461,-122.26,37.87,60019821001015
462,-122.26,37.87,60019821001015
463,-122.27,37.87,60014229023001
464,-122.27,37.87,60014229023001
465,-122.27,37.87,60014229023001
466,-122.28,37.86,60014234002004
467,-122.28,37.87,60014230001004
468,-122.28,37.87,60014230001004
469,-122.29,37.87,60014222003012
470,-122.29,37.87,60014222003012
471,-122.29,37.86,60014220001031
472,-122.28,37.86,60014234002004
473,-122.29,37.87,60014222003012
474,-122.29,37.86,60014220001031
475,-122.28,37.86,60014234002004
476,-122.28,37.86,60014234002004
477,-122.28,37.85,60014240022006
478,-122.27,37.86,60014235001013
479,-122.28,37.86,60014234002004
480,-122.28,37.86,60014234002004
481,-122.28,37.86,60014234002004
482,-122.27,37.86,60014235001013
483,-122.27,37.86,60014235001013
484,-122.27,37.86,60014235001013
485,-122.27,37.86,60014235001013
486,-122.26,37.86,60014236011008
487,-122.26,37.86,60014236011008
488,-122.26,37.86,60014236011008
489,-122.26,37.86,60014236011008
490,-122.25,37.86,60014237002012
491,-122.25,37.86,60014237002012
492,-122.25,37.86,60014237002012
493,-122.25,37.86,60014237002012
494,-122.24,37.86,60014001001018
495,-122.24,37.85,60014043001007
496,-122.25,37.86,60014237002012
497,-122.26,37.85,60014004003006
498,-122.27,37.85,60014239011019
499,-122.27,37.85,60014239011019
500,-122.27,37.85,60014239011019
501,-122.27,37.85,60014239011019
502,-122.27,37.85,60014239011019
503,-122.27,37.85,60014239011019
504,-122.28,37.85,60014240022006
505,-122.28,37.85,60014240022006
506,-122.28,37.85,60014240022006
507,-122.29,37.84,60014251031009
508,-122.28,37.83,60014251043000
509,-122.3,37.84,60014251012000
510,-122.23,37.83,60014261001006
511,-122.22,37.82,60014261006001
512,-122.22,37.82,60014261006001
513,-122.23,37.82,60014261004012
514,-122.23,37.82,60014261004012
515,-122.23,37.82,60014261004012
516,-122.24,37.83,60014262001003
517,-122.24,37.83,60014262001003
518,-122.23,37.82,60014261004012
519,-122.24,37.82,60014262002029
520,-122.25,37.82,60014039001004
521,-122.23,37.76,60014281001000
522,-122.23,37.76,60014281001000
523,-122.23,37.76,60014281001000
524,-122.24,37.77,60014272001001
525,-122.23,37.77,60014061003010
526,-122.24,37.77,60014272001001
527,-122.25,37.77,60014280003000
528,-122.25,37.77,60014280003000
529,-122.25,37.77,60014280003000
530,-122.25,37.77,60014280003000
531,-122.26,37.78,60014273002000
532,-122.26,37.78,60014273002000
533,-122.27,37.78,60014273002012
534,-122.27,37.78,60014273002012
535,-122.27,37.78,60014273002012
536,-122.27,37.78,60014273002012
537,-122.28,37.79,60014287003004
538,-122.3,37.77,60014287002020
539,-122.28,37.78,60014287001055
540,-122.29,37.78,60014287001013
541,-122.28,37.77,60014277002004
542,-122.28,37.77,60014277002004
543,-122.29,37.76,60019900000010
544,-122.28,37.78,60014287001055
545,-122.26,37.77,60014279003002
546,-122.27,37.77,60014278002002
547,-122.27,37.77,60014278002002
548,-122.27,37.77,60014278002002
549,-122.27,37.77,60014278002002
550,-122.25,37.77,60014280003000
551,-122.26,37.77,60014279003002
552,-122.26,37.77,60014279003002
553,-122.26,37.77,60014279003002
554,-122.26,37.77,60014279003002
555,-122.26,37.77,60014279003002
556,-122.24,37.77,60014272001001
557,-122.25,37.77,60014280003000
558,-122.23,37.76,60014281001000
559,-122.23,37.76,60014281001000
560,-122.24,37.76,60014282004005
561,-122.24,37.76,60014282004005
562,-122.23,37.76,60014281001000
563,-122.23,37.75,60014282002002
564,-122.24,37.75,60014282002005
565,-122.24,37.75,60014282002005
566,-122.24,37.76,60014282004005
567,-122.24,37.76,60014282004005
568,-122.24,37.76,60014282004005
569,-122.24,37.73,60014283011031
570,-122.25,37.74,60014283022000
571,-122.24,37.72,60014090002020
572,-122.27,37.73,60019900000010
573,-122.25,37.76,60014284001000
574,-122.27,37.74,60019900000010
575,-122.27,37.77,60014278002002
576,-122.28,37.75,60019900000010
577,-122.06,37.77,60014301021000
578,-122.06,37.73,60014302001001
579,-122.06,37.71,60014302002000
580,-122.07,37.71,60014302004005
581,-122.07,37.71,60014302004005
582,-122.07,37.72,60014302005002
583,-122.08,37.72,60014303001000
584,-122.08,37.72,60014303001000
585,-122.08,37.71,60014307002002
586,-122.09,37.71,60014307001003
587,-122.1,37.72,60014304002000
588,-122.11,37.71,60014305001001
589,-122.1,37.7,60014306003016
590,-122.1,37.69,60014340001008
591,-122.09,37.71,60014307001003
592,-122.09,37.7,60014309003000
593,-122.1,37.71,60014306001000
594,-122.09,37.7,60014309003000
595,-122.08,37.71,60014307002002
596,-122.08,37.71,60014307002002
597,-122.08,37.7,60014309001001
598,-122.07,37.7,60014308004002
599,-122.06,37.7,60014308003003
600,-122.06,37.7,60014308003003
601,-122.07,37.7,60014308004002
602,-122.08,37.7,60014309001001
603,-122.09,37.7,60014309003000
604,-122.07,37.69,60014311001011
605,-122.08,37.69,60014312003005
606,-122.07,37.69,60014311001011
607,-122.08,37.69,60014312003005
608,-122.08,37.69,60014312003005
609,-122.08,37.68,60014312002016
610,-122.08,37.68,60014312002016
611,-122.09,37.69,60014312003013
612,-122.15,37.74,60014321001018
613,-122.14,37.74,60014100002027
614,-122.14,37.73,60014327001010
615,-122.15,37.74,60014321001018
616,-122.16,37.73,60014323003020
617,-122.15,37.74,60014321001018
618,-122.15,37.73,60014322003013
619,-122.15,37.73,60014322003013
620,-122.17,37.73,60014323003014
621,-122.16,37.73,60014323003020
622,-122.17,37.73,60014323003014
623,-122.16,37.73,60014323003020
624,-122.18,37.72,60014324001006
625,-122.18,37.71,60014324001012
626,-122.17,37.71,60014324001017
627,-122.18,37.7,60014324002015
628,-122.18,37.7,60014324002015
629,-122.19,37.71,60014324003011
630,-122.17,37.72,60014325013002
631,-122.17,37.72,60014325013002
632,-122.17,37.72,60014325013002
633,-122.16,37.72,60014326011026
634,-122.17,37.72,60014325013002
635,-122.16,37.71,60014332004006
636,-122.16,37.71,60014332004006
637,-122.16,37.72,60014326011026
638,-122.15,37.73,60014322003013
639,-122.15,37.72,60014326012020
640,-122.15,37.72,60014326012020
641,-122.15,37.72,60014326012020
642,-122.14,37.73,60014327001010
643,-122.14,37.73,60014327001010
644,-122.14,37.73,60014327001010
645,-122.13,37.73,60014328001004
646,-122.13,37.72,60014328002006
647,-122.13,37.72,60014328002006
648,-122.12,37.71,60014305001001
649,-122.13,37.72,60014328002006
650,-122.14,37.72,60014330001008
651,-122.14,37.72,60014330001008
652,-122.13,37.72,60014328002006
653,-122.13,37.71,60014330004009
654,-122.13,37.71,60014330004009
655,-122.15,37.71,60014332004001
656,-122.14,37.71,60014331031001
657,-122.14,37.71,60014331031001
658,-122.13,37.7,60014331021021
659,-122.13,37.7,60014331021021
660,-122.15,37.71,60014332004001
661,-122.15,37.7,60014332004013
662,-122.14,37.7,60014332002009
663,-122.13,37.7,60014331021021
664,-122.13,37.69,60014337003002
665,-122.14,37.7,60014332002009
666,-122.16,37.7,60014333004004
667,-122.14,37.69,60014336002001
668,-122.15,37.69,60014336001004
669,-122.15,37.69,60014336001004
670,-122.15,37.7,60014332004013
671,-122.16,37.69,60014335001012
672,-122.16,37.7,60014333004004
673,-122.16,37.7,60014333004004
674,-122.17,37.7,60014334001001
675,-122.16,37.68,60014334006015
676,-122.17,37.69,60014334004000
677,-122.18,37.68,60014334003006
678,-122.16,37.69,60014335001012
679,-122.15,37.69,60014336001004
680,-122.15,37.68,60014336003013
681,-122.15,37.68,60014336003013
682,-122.15,37.69,60014336001004
683,-122.14,37.69,60014336002001
684,-122.14,37.68,60014359001004
685,-122.14,37.68,60014359001004
686,-122.1,37.69,60014340001008
687,-122.12,37.69,60014338022015
688,-122.13,37.69,60014337003002
689,-122.12,37.71,60014305001001
690,-122.12,37.7,60014339001008
691,-122.12,37.7,60014339001008
692,-122.12,37.69,60014338022015
693,-122.12,37.7,60014339001008
694,-122.11,37.7,60014339003002
695,-122.11,37.7,60014339003002
696,-122.11,37.7,60014339003002
697,-122.1,37.69,60014340001008
698,-122.11,37.69,60014340002005
699,-122.11,37.69,60014340002005
700,-122.12,37.69,60014338022015
701,-122.03,37.69,60014351033000
702,-121.97,37.64,60014401001000
703,-122.02,37.63,60014401001015
704,-122.04,37.63,60014351041008
705,-122.05,37.63,60014351044001
706,-122.04,37.66,60014364022003
707,-122.04,37.65,60014351023006
708,-122.05,37.68,60014352002000
709,-122.07,37.68,60014353002006
710,-122.06,37.68,60014353003003
711,-122.08,37.68,60014312002016
712,-122.08,37.68,60014312002016
713,-122.08,37.67,60014354002024
714,-122.09,37.67,60014363011007
715,-122.09,37.68,60014355002011
716,-122.09,37.69,60014312003013
717,-122.09,37.68,60014355002011
718,-122.09,37.68,60014355002011
719,-122.09,37.68,60014355002011
720,-122.1,37.68,60014356022001
721,-122.1,37.68,60014356022001
722,-122.11,37.68,60014356023002
723,-122.1,37.68,60014356022001
724,-122.1,37.67,60014363011015
725,-122.1,37.68,60014356022001
726,-122.12,37.68,60014357003008
727,-122.12,37.68,60014357003008
728,-122.12,37.68,60014357003008
729,-122.11,37.67,60014362001006
730,-122.12,37.68,60014357003008
731,-122.13,37.68,60014358003004
732,-122.13,37.68,60014358003004
733,-122.13,37.68,60014358003004
734,-122.14,37.68,60014359001004
735,-122.14,37.67,60014360002017
736,-122.15,37.67,60014359003014
737,-122.14,37.67,60014360002017
738,-122.13,37.67,60014361001001
739,-122.14,37.67,60014360002017
740,-122.14,37.67,60014360002017
741,-122.13,37.67,60014361001001
742,-122.12,37.67,60014361002008
743,-122.13,37.67,60014361001001
744,-122.11,37.67,60014362001006
745,-122.11,37.67,60014362001006
746,-122.09,37.67,60014363011007
747,-122.09,37.67,60014363011007
748,-122.09,37.66,60014363023013
749,-122.09,37.66,60014363023013
750,-122.05,37.68,60014352002000
751,-122.06,37.67,60014364043000
752,-122.07,37.67,60014364034005
753,-122.07,37.67,60014364034005
754,-122.07,37.67,60014364034005
755,-122.04,37.67,60014364021008
756,-122.04,37.67,60014364021008
757,-122.04,37.66,60014364022003
758,-122.07,37.66,60014365002001
759,-122.07,37.66,60014365002001
760,-122.08,37.66,60014366012006
761,-122.07,37.65,60014378001000
762,-122.08,37.65,60014366022007
763,-122.08,37.65,60014366022007
764,-122.08,37.66,60014366012006
765,-122.1,37.66,60014367001000
766,-122.1,37.66,60014367001000
767,-122.1,37.66,60014367001000
768,-122.09,37.65,60014366021003
769,-122.09,37.65,60014366021003
770,-122.09,37.65,60014366021003
771,-122.1,37.66,60014367001000
772,-122.11,37.66,60014369001008
773,-122.1,37.66,60014367001000
774,-122.11,37.66,60014369001008
775,-122.11,37.66,60014369001008
776,-122.1,37.65,60014370001009
777,-122.1,37.64,60014370002008
778,-122.1,37.65,60014370001009
779,-122.1,37.65,60014370001009
780,-122.12,37.65,60014372001002
781,-122.1,37.63,60014371023007
782,-122.1,37.61,60014371011007
783,-122.13,37.66,60014371014005
784,-122.11,37.65,60014372005000
785,-122.11,37.64,60014372002000
786,-122.11,37.64,60014372002000
787,-122.12,37.64,60014371014033
788,-122.09,37.63,60014383003005
789,-122.09,37.64,60014374002018
790,-122.1,37.63,60014371023007
791,-122.08,37.64,60014376001000
792,-122.08,37.64,60014376001000
793,-122.09,37.64,60014374002018
794,-122.09,37.64,60014374002018
795,-122.08,37.64,60014376001000
796,-122.08,37.64,60014376001000
797,-122.08,37.63,60014382011002
798,-122.08,37.63,60014382011002
799,-122.08,37.64,60014376001000
800,-122.07,37.64,60014377011000
801,-122.07,37.63,60014382032015
802,-122.07,37.64,60014377011000
803,-122.06,37.64,60014379001011
804,-122.06,37.64,60014379001011
805,-122.06,37.65,60014351022000
806,-122.06,37.64,60014379001011
807,-122.04,37.63,60014351041008
808,-122.03,37.62,60014380001008
809,-122.03,37.62,60014380001008
810,-122.04,37.62,60014381002013
811,-122.04,37.62,60014381002013
812,-122.04,37.62,60014381002013
813,-122.03,37.62,60014380001008
814,-122.03,37.61,60014381005011
815,-122.03,37.61,60014381005011
816,-122.04,37.61,60014403013000
817,-122.04,37.62,60014381002013
818,-122.08,37.63,60014382011002
819,-122.08,37.62,60014384001006
820,-122.07,37.63,60014382032015
821,-122.07,37.63,60014382032015
822,-122.06,37.63,60014382041000
